"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","23","Cefixime + Azithromycin","Cefixime as Trihydrate eq. to Anhydrous cefixime - 200mg 
Azithromycin as Dihydrate eq. to Anhydrous Azithromycin - 250mg","Akums Drugs & Pharmaceuticals Limited","Amazing Reserch Laboratories Ltd., Plenteous Pharmaceuticals Ltd.","1 Tablet","15.88","3783(E)","20-Dec-13"
"","24","Voglibose + Glimepiride+ Metformin HCL Tablet (Trivolib Forte 1)","Voglibose - 0.3mg 
Glimepiride - 1 mg 
Metformin HCL - 500 mg","Akums Drugs & Pharmaceuticals Limited","Unimed Technologies Ltd.","1 Tablet","8.47","3784(E)","20-Dec-13"
"","25","Voglibose + Glimepiride+ Metformin HCL Tablet (Trivolib Forte 2)","Voglibose - 0.3mg Glimepiride - 2 mg Metformin HCL - 500 mg","Akums Drugs & Pharmaceuticals Limited","Unimed Technologies Ltd.","1 Tablet","10.46","3785(E)","20-Dec-13"
"","26","Glimeperide+Pioglitazone+
Metformin HCL Tablets (Tusformin 1 Tablet)","Each uncoated bilayer tablet contains-Glimepiride - 1 mg 
Pioglitazone HCl eq. to Piogliazone - 15mg
Metformin HCL - 500mg 
(in sustained release form)","Akums Drugs & Pharmaceuticals Limited","M/s Zuventus Healthcare Ltd.","1 Tablet","5.36","425(E)","17-Feb-14"
"","27","Glimeperide+Pioglitazone+

Metformin HCL Tablets (Tusformin 2 Tablet)","Each uncoated bilayer tablet contains- 
Glimepiride - 2 mg�Pioglitazone HCl eq. to Piogliazone - 15mg 
Metformin HCL - 500mg�(in sustained release form)","Akums Drugs & Pharmaceuticals Limited","M/s Zuventus Healthcare Ltd.","1 Tablet","6.94","426(E)","17-Feb-14"
"","28","Voglibose+Metformin HCL
 Tablets (Obimet V 0.2mg Tablet)","Each uncoated bilayer tablet contains 
Voglibose - 0.2mg�
Metformin HCL - 500mg�(in sustained release form)","M/s Hetero Labs Ltd","M/s Abbott India Ltd","1 Tablet","52.38","427 (E)","17-Feb-14"
"","29","Voglibose+Metformin HCL Tablets
 (Obimet V 0.3mg Tablet)","Each uncoated bilayer tablet contains- Voglibose - 0.3mg�Metformin HCL - 500mg�(in sustained release form)","M/s Hetero Labs Ltd","M/s Abbott India Ltd","1 Tablet","52.38","428(E)","17-Feb-14"
"","30","Omeprazole+Domeperidone 
Capsules (Trustocid D Capsule)","Each hard gelatin capsule contains- Omeprazole - 20 mg�(as enteric coated pellets) Domeperidone - 10 mg (As Pellets)","M/s Newtramax Healthcare","M/s Zuventus Healthcare Ltd.","Capsule","4.21","429 (E)","17-Feb-14"
"","31","Glucoryl MV 1/0.3 Tablet","Each film coated tablet contains:
Metformin HCL IP – 500mg
(As Sustained Release)
Voglibose – 0.3mg
Glimepiride IP – 1mg","M/s SunGlow Pharmaceuticals Pvt. Ltd.","M/s Alkem Lab. Ltd.","1 Tablet","8.47","924(E)","27-Mar-14"
"","32","Glucoryl MV 2/0.3 Tablet","Each film coated tablet contains:
Metformin HCL IP – 500mg
(As Sustained Release) Voglibose – 0.3mg
Glimepiride IP – 2mg","M/s SunGlow Pharmaceuticals Pvt. Ltd.","M/s Alkem Lab. Ltd.","1 Tablet","10.46","925(E)","27-Mar-14"
"","33","Tusformin Plus Tablet","Each uncoated tablet contains:
 Glimepiride IP – 2mg
 Metformin HCL IP – 500 mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Zuventus Healthcare Ltd","1 Tablet","4.5","926(E)","27-Mar-14"
"","34","Tusformin G Tablet","Each uncoated tablet contains:
Gliclazide IP – 80 mg
Metformin HCL IP – 500 mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Zuventus Healthcare Ltd","1 Tablet","4.63","927(E)","27-Mar-14"
"","35","Cefpodoxime and Ofloxacin Tablet.","Each film coated tablet contains:
Cefpodoxime Proxetil IP eq. to
Cefpodoxime – 200mg
Ofloxacin IP – 200mg","M/s Innova Captab Pvt. Ltd.","M/s Micro Labs Ltd.","1 Tablet","12.91","928(E)","27-Mar-14"
"","36","Glucoryl MV 1 Forte","Each film coated tablet contains:
Metformin HCL IP - 850 mg
(As a Extended Release)
Voglibose - 0.2 mg
Glimepiride IP - 1 mg","M/s Savi Pharma","M/s. Alkem Lab Ltd","1 Tablet","8.48","929(E)","27-Mar-14"
"","37","Glucoryl MV 2 Forte","Each film coated tablet contains:
Metformin HCL IP- 850 mg
(As a Extended Release)
Voglibose - 0.2 mg
Glimepiride IP- 2 mg","M/s Savi Pharma","M/s. Alkem Lab Ltd","1 Tablet","10.46","930(E)","27-Mar-14"
"","38","Metformin HCL Tablet","Each sustained release tablet contains:
Metformin HCL -1000 mg","M/s. Dr. Reddy’s Lab Ltd","M/s. Dr. Reddy’s Lab Ltd","1 Tablet","3.34","931(E)","27-Mar-14"
"","39","Thramacet Tablet","Each film coated tablet contains:
Paracetamol IP 325 mg
Tramadol Hydrochloride IP 37.5 mg","M/s Crescent Therapeutics Limited","M/s Galpha Laboratories Ltd","1 Tablet","5.32","932(E)","27-Mar-14"
"","40","Bisoprolol Fumarate 2.5 mg &
 Amlodipine 5 mg Tablet","Each film coated tablet contains:
Bisoprolol Fumarate- 2.5 mg
Amlodipine Besilate eq. to Amlodipine – 5 mg","M/s Mankind Pharma Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","5.08","933(E)","27-Mar-14"
"","41","Azibact –L 250 Tablet","Each film coated tablet contains:
Azithromycin (as dihydrate)
Eq. to Azithromycin IP 250 mg
Levofloxacin Hemihydrate
Eq. to Levofloxacin IP 250 mg q.s excipients","M/s Hetero Labs Limited","M/s Ipca Laboratories Ltd.","1 Tablet","12.26","934(E)","27-Mar-14"
"","42","Azibact –L 500 Tablet","Each film coated tablet contains:
Azithromycin (as dihydrate)
Eq. to Azithromycin IP 500 mg
Levofloxacin Hemihydrate
Eq. to Levofloxacin IP 500 mg q.s excipients","M/s Hetero Labs Limited","M/s Ipca Laboratories Ltd.","1 Tablet","21.77","935(E)","27-Mar-14"
"","43","Glyree MV1 Tablet","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500 mg
(In sustained release form)
Glimepiride IP 1mg
Voglibose IP 0.2 mg Excipients q.s.","M/s Hetero Labs Limited","M/s Ipca Laboratories Ltd.","1 Tablet","8.46","936(E)","27-Mar-14"
"","44","Glimitab MV1 Tablet","Each uncoated bilayered tablet contains:Glimepiride IP 1mg
Metformin Hydrochloride IP -500 mg (as Sustained release)
Voglibose – 0.2 mg","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Centaur Pharmaceuticals Pvt. Ltd.","1 Tablet","8.46","937(E)","27-Mar-14"
"","45","Glyree MV2 Tablet","Each uncoated bilayered tablet contains:Metformin Hydrochloride IP 500 mg
Voglibose IP 0.2 mg, Excipients q.s.
Glimepiride IP 2mg
(In sustained release form)","M/s Hetero Labs Limited","M/s Ipca Laboratories Ltd.","1 Tablet","10.47","938(E)","27-Mar-14"
"","46","Glimitab MV2 Tablet","Each uncoated bilayered tablet contains:
Glimepiride IP 2mg
Metformin Hydrochloride IP -500 mg 
(as Sustained release)
Voglibose – 0.2 mg","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Centaur Pharmaceuticals Pvt. Ltd.","1 Tablet","10.47","939(E)","27-Mar-14"
"","47","Euclide M 30 OD Tablet","Each Uncoated bilayered tablet contains:
Gliclazide IP (30 mg) 
(In modified release form) &
 Metformin Hydrochloride IP (500 mg)
  (In extended release form) 
Excipients : q.s., Colour : Red Oxide of Iron","M/s Inventia Healthcare Pvt. Ltd.","M/s Alkem Laboratories Ltd.","1 Tablet","4.43","940(E)","27-Mar-14"
"","48","Flucon-AS3 Kit","Each Combikit contains:-
(A)      1 Fluconazole Tablet IP 150 mg
            Each uncoated tablet contains:
            Fluconazole IP 150 mg
            Colour : poncear 4R 
(B)      1 Azithromycin Tablet IP 1 g
            Each film coated tablet contains:
           Azithromycin IP (as dihydrate)
           Eq. to Azithromycin 1 gm
            Colour : poncear 4R 
(C)      2 Secnidazole Tablet IP1 gm
            Each film coated tablet contains:
            Secnidazole IP 1 gm
             Colour : Titanium Dioxide IP","M/s Innova Captab Pvt. Ltd.","M/s Galpha Laboratories Ltd.","Kit","86.7","941(E)","27-Mar-14"
"","49","Cefixime Oral Suspension IP 100 mg","Each 5 ml of constituted suspension contains:-
Cefixime IP as Trihydrate
Equivalent to Anhydrous Cefixime -100 mg
Excipients – q.s","M/s Innova Captab Pvt. Ltd.","M/s Magnet Labs Pvt. Ltd.","Suspension","2.11","942(E)","27-Mar-14"
"","50","Hydroxychloroquine Sulphate- 400 mg Tabs","Each film coated tablet contains:
Hydroxychloroquine Sulphate USP 400 mg
Colour : Titanium Dioxide IP","M/s Unicure India Ltd","M/s Obsurge Biotech Ltd.","1 Tablet","10.12","943(E)","27-Mar-14"
"","51","Euclide M 60 OD Tablet","Each Uncoated bilayered tablet contains:
Gliclazide IP (60 mg) 
(In modified release form) & 
Metformin Hydrochloride IP (500 mg)
(In extended release form) tablets 
Excipients : q.s., Colour : Red Oxide of Iron, Yellow Oxide of Iron","M/s Inventia Healthcare Pvt. Ltd.","M/s Alkem Laboratories Ltd.","1 Tablet","6.88","944(E)","27-Mar-14"
"","52","Superspas-RF Injection.","Each ml contains:
Dicyclomine Hydrochloride IP 10 mg
Diclofenac Sodium IP 25 mg 
Benzalkonium Chloride Solution IP 0.05% w/v
(As preservative), Water for Injections IP QS","M/s Nitin Life Sciences Ltd","M/s Seagull Pharmaceuticals Pvt. Ltd.","Injection","8.06","945(E)  3156(E)","27/03/2014     10/12/2014"
"","53","Glimepiride + Voglibose + Metformin Hydrochloride (SR) Tablet","Each uncoated bilayered tablet contains: Glimepiride IP 1mg Voglibose – 0.2 mg Metformin Hydrochloride IP 500 mg (as sustained release) Colour : Red Oxide of iron","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","Strides Arcolab Limited","1 Tablet","8.46","1158(E)","28-Apr-14"
"","54","Glimepiride + Voglibose + Metformin Hydrochloride (SR) Tablet","Each uncoated bilayered tablet contains: Glimepiride IP 2mg Voglibose – 0.2 mg Metformin Hydrochloride IP 500 mg (as sustained release) Colour : Yellow Oxide of iron","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","Strides Arcolab Limited","1 Tablet","10.47","1158(E)","28-Apr-14"
