"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","887","Diclofenac + Methyl + Menthol  Gel (Diclotal MR Gel)","Contains: 
Diclofenac Diethylamine BP 1.16%w/w (eq. to Diclofenac Sodium 1%), 
Methyl Salicylate IP 5% w/w,  
Mephenesin IP 85 5%w/w,
Menthol IP 2% w/w,
Turpentine Oil BP 3%w/w","M/s The Madras Pharmaceuticals","M/s Blue Cross Laboratories Pvt. Ltd.","1 GM","2.46","5638(E)","02-Nov-18"
"","888","Lamivudine + Tenofovir + Dolugetravir tablet","Each  film coated tablet contains:
Lamivudine IP 300mg,
Tenofovir Disoproxil Fumarate IP 300mg eq. to Tenofovir Disoproxil 245mg,
Dolugetravir Sodium eq. to Dolutegravir 50mg.","M/s Emcure Pharmaceuticals Limited","M/s Emcure Pharmaceuticals Limited","1 Tablet","114.06","5638(E)","02-Nov-18"
"","889","Darunavir + Ritonavir tablet (Danavir R)","Each film coated tablet contains:
Darunavir Ethanolate eq. to Darunavir 800mg,
Ritonavir 100mg Tablet","M/s Hetero Labs Limited","M/s Hetero Healthcare Limited","1 Tablet","212.91","5638(E)","02-Nov-18"
"","890","Lamivudine + Tenofovir + Dolugetravir tablet (ACRIPTEGA)","Each uncoated tablet contains:
Lamivudine IP 300mg,
Tenofovir Disoproxil Fumarate IP 300mg,
Dolugetravir Sodium eq. to Dolutegravir 50mg.","M/s Mylan Laboratories Limited","M/s Mylan Pharmaceuticals Private Limited","1 Tablet","114.06","5638(E)","02-Nov-18"
"","891","Daclatasvir + Sofosbuvir tablet (HEPCINAT PLUS)","Each film coated tablet contains:
Daclatasvir Dihydrochloride eq. to Daclatasvir 60mg,
Sofosbuvir 400mg","M/s Natco Pharma Limited","M/s Natco Pharma Limited","1 Tablet","556.442","5638(E)","02-Nov-18"
"","892","Daclatasvir + Sofosbuvir tablet","Each film coated tablet contains:
Daclatasvir Dihydrochloride eq. to Daclatasvir 60mg,
Sofosbuvir 400mg","M/s Natco Pharma Limited","M/s Cadila Healthcare Limited","1 Tablet","556.442","5638(E)","02-Nov-18"
"","893","Daclatasvir + Sofosbuvir tablet (MYHEP DVIR)","Each film coated tablet contains:
Daclatasvir Dihydrochloride eq. to Daclatasvir 60mg,
Sofosbuvir 400mg","M/s Mylan Laboratories Pvt. Ltd","M/s Mylan Pharmaceuticals Pvt. Ltd.","1 Tablet","556.442","5638(E)","02-Nov-18"
"","894","Diclofenac + Methyl + Menthol  GEL (Volini Maxx Gel)","Contains:
Diclofenac Diethylamine BP 2.32% w/w 
(eq. to Diclofenac Sodium 2% w/w), 
Methyl Salicylate IP 10% w/w & 
Menthol IP 5% w/w","M/s Sun Pharmaceutical Industries Ltd.","M/s Sun Pharmaceutical Industries Ltd.","Each Pack (15 gram)","93.75","5638(E)","02-Nov-18"
"","895","Diclofenac + Methyl + Menthol  GEL (Volini Maxx Gel)","Contains:
Diclofenac Diethylamine BP 2.32% w/w 
(eq. to Diclofenac Sodium 2% w/w), 
Methyl Salcylate IP 10% w/w & 
Menthol IP 5% w/w","M/s Sun Pharmaceutical Industries Ltd.","M/s Sun Pharmaceutical Industries Ltd.","Each Pack (10 gram)","62.5","5638(E)","02-Nov-18"
"","896","Ceftriaxone 1 gm plus Tazobactum 125 mg injection","Each injection vial contains:
Ceftriaxone Sodium IP eq. to Ceftriaxone 1 gm
Tazobactum Sodium eq. to Tazobactum 125 mg","M/s Innova Captab Pvt. Ltd.","M/s Emcure Pharmaceuticals Ltd","1 Vial","136.11","5638(E)","02-Nov-18"
"","897","Cefpodoxime + Potassium Dry Syrup  (Cefoprox CV)","Each 5 ml of the reconstituted suspension contains:
Cefpodoxime Proxetil IP eq. to Cefpodoxime 50 mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 31.25 mg","M/s Hetero Labs Ltd","M/s Cipla Limited","1 ML","2.4","5638(E)","02-Nov-18"
"","898","Cefpodoxime + Potassium Dry Syrup  (Cefoprox CV)","Each 5 ml of the reconstituted suspension contains:
Cefpodoxime Proxetil IP eq. to Cefpodoxime 100 mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 62.5mg","M/s Hetero Labs Ltd","M/s Cipla Limited","1 ML","3.72","5638(E)","02-Nov-18"
"","899","Diphtheria Toxoid + Tetanus Toxoid  +
Inactivated w-B. pertussis bulk + Hib (PRP- TT) (Hib PRP Conjugated with carrier protein Tetanus Toxoid) + Aluminium content (A13+) (as Aluminium Phosphate Gel) +
Thiomersal 0.025mg,","Each ml contains:
Diphtheria Toxoid 20Lf (30 IU), 
Tetanus Toxoid  7.5Lf (60 IU),
Inactivated w-B. pertussis bulk 10 IOU (4 IU), 
Hib (PRP- TT) (Hib PRP Conjugated with carrier protein Tetanus Toxoid) 10 ug,
Aluminium content (A13+) (as Aluminium Phosphate Gel) 0.25mg, 
Thiomersal 0.025mg,","M/s Panacea Biotech Ltd.","M/s Panacea Biotech Ltd.","","340.15","6253(E)","21-Dec-18"
"","900","Choline Salicylate Solution  + Benzalkonium Chloride Solution +
Lignocaine Hydrochloride Gel (ULFREE Gel)","Each  film coated tablet contains:   
Choline Salicylate Solution B.P. eq. to Choline Salicylate 8.7% w/w,
Benzalkonium Chloride Solution IP 0001% w/w,
Lignocaine Hydrochloride IP 2.0% w/w","M/s Group Pharmaceuticals Limited","M/s Hetero Healthcare Ltd.","1 GM","4.29","6253(E)","21-Dec-18"
"","901","Bupivacaine Hydrochloride + Fentanyl Citrate","Each ml Contains:
Bupivacaine Hydrochloride IP 1.00mg eq. to anyhydrous Bupivacaine Hydrochloride 0.948mg,
Fentanyl Citrate IP eq. to Fentanyl 2.0mcg","M/s Troikaa Pharmaceuticals Ltd.","M/s Troikaa Pharmaceuticals Ltd.","20 ML Vial","71.47","6253(E)","21-Dec-18"
"","902","Bupivacaine Hydrochloride + Fentanyl Citrate","Each ml Contains:
Bupivacaine Hydrochloride IP 1.25mg eq. to anyhydrous Bupivacaine Hydrochloride 1.185mg,
Fentanyl Citrate IP eq. to Fentanyl 2.0mcg","M/s Troikaa Pharmaceuticals Ltd.","M/s Troikaa Pharmaceuticals Ltd.","20 ML Vial","75.89","6253(E)","21-Dec-18"
"","903","Telmisartan + Amlodipine Besylate +
Hydrochlorthaiazide Tablets (Telmiride – AMH)","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Amlodipine Besylate IP eq. to Amlodipine 5mg,
Hydrochlorthaiazide IP 12.50mg Tablets","M/s Unison Pharmaceuticals Pvt. Ltd.","M/s Unison Pharmaceuticals Pvt. Ltd.","1 Tablets","3.21","6253(E)","21-Dec-18"
"","904","Telmisartan + Metoprolol Tablet (Telmiride – MT 25)","Each uncoated bilayered tablet contains:
Telmisartan IP 40mg,
Metoprolol Succinate IP 23.75mg, eq. to Metoprolol Tartrate IP 25mg (as Extended Release)","M/s Unison Pharmaceuticals Pvt. Ltd.","M/s Unison Pharmaceuticals Pvt. Ltd.","1 Tablets","3.13","6253(E)","21-Dec-18"
"","905","Telmisartan + Metoprolol Tablet
(Telmiride – MT 50)","Each uncoated bilayered tablet contains:
Telmisartan IP 40mg,
Metoprolol Succinate IP 47.50mg, eq. to Metoprolol Tartrate IP 50mg (as Extended Release)","M/s Unison Pharmaceuticals Pvt. Ltd.","M/s Unison Pharmaceuticals Pvt. Ltd.","1 Tablets","3.57","6253(E)","21-Dec-18"
"","906","Omeprazole + 
Domperidone  Capsule (OZSON-D)","Each hard gelatin capsule contains:
Omeprazole 20mg (As enteric coated pellets) + 
Domperidone IP 10mg (As coated pellets) Capsule","M/s Unison Pharmaceuticals Pvt. Ltd.","M/s Unison Pharmaceuticals Pvt. Ltd.","1 Capsule","1.79","6253(E)","21-Dec-18"
"","907","(Diltra Tablets)
Lamivudine +
Tenofovir +
Dolugetravir Tablets","Each  film coated tablet contains:
Lamivudine IP 300mg,
Tenofovir Disoproxil Fumarate IP 300mg 
Dolugetravir Sodium eq. to Dolutegravir 50mg","M/s Aurobindo Pharma Limited","M/s Aurobindo Pharma Limited","1 Tablets","114.06","6253(E)","21-Dec-18"
"","908","Metformin Hydrochloride +
Pioglitazone Hydrochloride Tablet","Each uncoated tablet contains:
Metformin Hydrochloride IP 1000mg (in sustained release form),
Pioglitazone Hydrochloride IP eq. to Pioglitazone 15mg","M/s Eris Lifesciences Ltd.","M/s Eris Lifesciences Ltd.","1 Tablets","9.04","6253(E)","21-Dec-18"
"","909","Clinidipine + Metoprolol Succinate  Tablet","Each Film coated bilayered tablet contains:
Clinidipine IP 10mg,
Metoprolol Succinate IP 23.75mg eq. to Metoprolol tartrate 25mg (In prolonged release form)","M/s Safetab Life Science","M/s Ajanta Pharma Limited","1 Tablets","6.79","6253(E)","21-Dec-18"
"","910","Clinidipine + Metoprolol Succinate  Tablet","Each Film coated bilayered tablet contains:
Clinidipine IP 10mg,
Metoprolol Succinate IP 47.50mg eq. to Metoprolol tartrate 50mg (In prolonged release form)","M/s Safetab Life Science","M/s Ajanta Pharma Limited","1 Tablets","8.19","6253(E)","21-Dec-18"
"","911","Rosuvastatin + Aspirin + Clopidogrel Capsule","Each Hard Gelatine Capsule contains:
Rosuvastatin Calcium IP eq. to Rosuvastation 20mg  (As pellets)
Aspirin IP 75mg (As Gastro - resistant pellets)
Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg (As pellets)","M/s Synokem Pharmaceuticals Ltd.","M/s Micro Labs Limited","1 Capsule","17.88","6253(E)","21-Dec-18"
"","912","Rosuvastatin + Aspirin + Clopidogrel Capsule","Each Hard Gelatine Capsule contains:
Rosuvastatin Calcium IP eq. to Rosuvastation  10mg (As pellets)
Aspirin IP 75mg (As Gastro - resistant pellets)
Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg (As pellets)","M/s Synokem Pharmaceuticals Ltd.","M/s Micro Labs Limited","1 Capsule","11.46","6253(E)","21-Dec-18"
"","913","Escitalopram Oxalate + Clonazepam (Recita LD) Tablet","Each film coated tablet contains:
Escitalopram Oxalate eq. to Escitalopram 5mg,
Clonazepam IP 0.25mg","M/s IPCA Laboratories Ltd.","M/s IPCA Laboratories Ltd.","10' Tablet","5.88","6253(E)","21-Dec-18"
"","914","Glimepiride + Pioglitazone Hydrochloride Tablet","Each uncoated tablet contains:
Glimepiride IP 1mg
Pioglitazone Hydrochloride IP eq. to Pioglitazone 15mg","M/s Windlas Biotech Pvt. Ltd.","M/s Lupin Limited","1 Tablets","6.38","6253(E)","21-Dec-18"
"","915","Glimepiride + Pioglitazone Hydrochloride Tablet","Each uncoated tablet contains:
Glimepiride IP  2mg
Pioglitazone Hydrochloride IP eq. to Pioglitazone 15mg","M/s Windlas Biotech Pvt. Ltd.","M/s Lupin Limited","1 Tablets","8.2","6253(E)","21-Dec-18"
"","916","Diclofenac Sodium +
Serratiopeotidase 
enzyme activity units of Serratiopeptidase. (Diclotal S) Tablets","Each enteric coated Tablet Contains:
Diclofenac Sodium IP 50mg,
Serratiopeotidase IP 10mg eq. to 20000 enzyme activity units of Serratiopeptidase.","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablets","5","6253(E)","21-Dec-18"
"","917","Amoxycillin + Potassium Clavulante Suspanssion","Each combipack contains:
(a) One bottle of Amoxycillin & Potassium Clavunate Oral Suspension L.P.
Each 5ml of reconstituted suspension contains:
Amoxycillin Trihydrate IP eq. to Amoxycillin 400mg, Potassium Clavulante Diluted IP eq. to Clavulnic Acid 57mg
(b) One vial of Sterile  water for Injection IP Each vail contains: Sterile water for injection IP 30ml","M/s Malik Life Sciences Ltd.","M/s Wockhardt Limited","100 ml","3.28","6253(E)","21-Dec-18"
"","918","Formoterol Fumarate + Budesonide Suspension","Each 2ml Inhalation suspension contains:
Formoterol Fumarate Dihydrate IP eq. to Formoterol Fumarate 20mcg,
Budesonide IP 1.0mg in an Isotonic Solution","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Glenmark Pharmaceuticals Limited","2 ML","36.04","6253(E)","21-Dec-18"
"","919","Formoterol Fumarate + Budesonide Suspension","Each 2ml Inhalation suspension contains:
Formoterol Fumarate Dihydrate IP eq. to Formoterol Fumarate 20mcg,
Budesonide IP 0.5mg in an Isotonic Solution","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Glenmark Pharmaceuticals Limited","2 ML","42.12","6253(E)","21-Dec-18"
"","920","Paracetamol + Phenylephrine Hydrochloride + Caffeine +
Diphenhydramine Hydrochloride (NEMO-KOLD-NF) Tablet","Each uncoated tablet contains:
Paracetamol IP 500mg,
Phenylephrine Hydrochloride IP 5mg,
Caffeine (Anhydrous) IP 30mg,
Diphenhydramine Hydrochloride IP 25mg","M/s Samson Laboratories Pvt. Ltd.","M/s Galpha Laboratories Limited","1 Tablet","2.7","6253(E)","21-Dec-18"
"","921","Daclatasvir + Sofosbuvir Tablet","Each film coated tablet contains:
Daclatasvir Dihydrochloride eq. to Daclatasvir 60mg,
Sofosbuvir 400mg","M/s Natco Pharma Ltd.","M/s Aprazer Healthcare Pvt. Ltd.","28's Tablet","556.442","6253(E)","21-Dec-18"
"","922","Telmisartan + Cilnidipine + Chlorthalidone tablet","Each film coated tablet contains: Telmisartan IP 40mg, Cilnidipine 10mg, Chlorthalidone 6.25mg","M/s Windlas Biotech Private Limited","M/s Eris Lifesciences Ltd.","1 Tablet","10.43","452(E)","25-Jan-19"
"","923","Paracetamol + Diclofenac Sodium Tablet","Each film coated tablet contains: Paracetamol IP 325mg Diclofenac Sodium IP 50mg","M/s Indoco Remedies Limited","M/s Indoco Remedies Limited","1 Tablet","3.29","452(E)","25-Jan-19"
"","924","Atorvastatin + Clopidogrel Capsule","Each hard gelatine capsule contains: Atorvastatin Calcium IP eq. to Atorvastatin 10mg Clopidogrel Bisulphate IP eq. To Clopidogrel 75mg","M/s Windlas Biotech Private Limited","M/s Aprica Healthcare Pvt. Limited","Capsule","12.09","452(E)","25-Jan-19"
"","925","Paracetamol + Phenylephrine HCL + Caffeine + Diphenhydramine HCL Tablet","Each uncoated tablets contains: Paracetamol IP 500mg, Phenylephrine HCL IP 5mg, Caffeine (Anhydrous) IP 30mg, Diphenhydramine HCL IP 25mg","M/s KonTest Chemicals Limited","M/s KonTest Chemicals Limited","1 Tablet","2.7","452(E)","25-Jan-19"
"","926","Drotaverine Hydrochloride + Diclofenac Potassium Tablet","Each film coated tablet contains; Drotaverine Hydrochloride IP 80mg, Diclofenac Potassium BP 50mg","M/s Cris Pharma (India) Limited","M/s Seagull Pharmaceuticals Pvt. Ltd.","1 Tablet","7.17","452(E)","25-Jan-19"
"","927","Atorvastatin + Clopidogrel Capsule","Each hard gelatine capsule contains: Atorvastatin Calcium IP eq. to Atorvastatin 20mg Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg","M/s Windlas Biotech Private Limited","M/s Aprica Healthcare Pvt. Limited","Capsule","17.5","452(E)","25-Jan-19"
"","928","Atorvastatin +  Fenofibrate Tablet","Each film coated Tablet contains:
Atorvastatin 10mg,
Fenofibrate 160mg","M/s Rivpra Formulations Pvt. Ltd.","M/s Cadila Pharmaceuticals Limited","1 Tablet","11.52","1489(E)","29-Mar-19"
"","929","Rosuvastatin + Clopidogrel Capsule","Each hard gelatine capsule contains: Rosuvastatin Calcium IP eq. to Rosuvastatin 10mg Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg","M/s Windlas Biotech Private Limited","M/s Aprica Healthcare Pvt. Limited","Capsule","13.13","452(E)","25-Jan-19"
"","930","Rosuvastatin + Clopidogrel Capsule","Each hard gelatine capsule contains: Rosuvastatin Calcium IP eq. to Rosuvastatin 20mg Clopidogrel Bisulphate IP eq.to Clopidogrel 75mg","M/s Windlas Biotech Private Limited","M/s Aprica Healthcare Pvt. Limited","Capsule","17.16","452(E)","25-Jan-19"
"","931","Mesalazine Tablet (5 –aminosalicylic acid)","Each uncoated tablet contains: Mesalazine IP Prolonged Release 500mg","M/s Sun Pharmaceutical Industries Limited","M/s Sun Pharma Laboratories Limited","1 Tablets","22.32","452(E)","25-Jan-19"
"","932","Diclofenac Sodium + Chlorzoxazone Tablet (Diclotal M)","Each Film coated Tablet Contains: Diclofenac Sodium IP 50mg, Chlorzoxazone USP 500mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablet","4.56","452(E)","25-Jan-19"
"","933","Griseofulvin Tablet (Grisovin FP)","Each uncoated tablet contains: Griseofulvin IP 500mg","M/s GlaxoSmithKline Pharmaceuticals Ltd.","M/s GlaxoSmithKline Pharmaceuticals Ltd.","1 Tablet","8.15","452(E)","25-Jan-19"
"","934","Telmisartan + Amlodipine + Hydrochlorothiazide Tablet (TELMIWOCK-AMH)","Each uncoated bilayered tablet contains: Telmisartan IP 40mg, Amlodipine Besilate IP 5mg, Hydrochlorothiazide 12.5mg","M/s Pure & Cure Healthcare Pvt. Limited","M/s Wockhardt Limited","1 Tablet","7.88","452(E)","25-Jan-19"
"","935","Metformin HCL + Glimepiride Tablet (Glitop-M1)","Each uncoated bilayered tablet contains: Metformin HCL IP 500mg (As SR), Glimepiride IP 1mg","M/s Pharmafabrikon","M/s Pharmafabrikon","1 Tablet","4","452(E)","25-Jan-19"
"","936","Metformin HCL + Glimepiride Tablet (Glitop-M2)","Each uncoated bilayered tablet contains: Metformin HCL IP 500mg (As SR), Glimepiride IP 2mg","M/s Pharmafabrikon","M/s Pharmafabrikon","1 Tablet","5","452(E)","25-Jan-19"
"","937","Amoxycillin + Potassium Clavulanate Tablet","Each uncoated dispersible tablet contains: Amoxycillin Trihydrate eq. to Amoxycillin IP 200mg Potassium clavulanate diluted eq. to Clavulanic Acid IP 28.5mg","M/s Medicef Pharma","M/s Emcure Pharmaceuticals Ltd.","1 Tablet","7.46","452(E)","25-Jan-19"
"","938","Atorvastatin Tablet","Each tablet contains: Atorvastatin 80mg Tablet","M/s Cadila Pharmaceuticals Limited","M/s Cadila Pharmaceuticals Limited","1 Tablet","27.54","452(E)","25-Jan-19"
"","939","Voglibose + Metformin HCL Tablet","Each Uncoated tablet contains: Voglibose IP 0.3mg, Metformin HCL IP 500mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Eris Lifesciences Ltd.","1 Tablet","8.42","452(E)","25-Jan-19"
"","940","Metoprolol Tartrate + Ramipril Tablet","Each uncoated bilayered tablet contains: Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate (As ER) 50mg Ramipril IP 5mg","M/s Lupin Limited","M/s Aprica Healthcare Pvt. Limited","1 Tablet","15.63","452(E)","25-Jan-19"
"","941","Rosuvastatin + Clopidogrel + Aspirin Capsule(Sultatin Gold 20)","Each Hard gelatine Capsule contains: Rosuvastatin Calcium IP eq. to Rosuvastatin 20mg,
Clopidogrel Bisulphate IP eq.to
Clopidogrel 75mg,
Aspirin IP 75mg","M/s Synokem Pharmaceuticals Limited","M/s Medopharma","Capsule","16.07","452(E)","25-Jan-19"
"","942","Methylcobalamin + Alpha Lipoic Acid + Pyridoxine Hydrochloride +, Folic Acid + Vitamin D3 Tablet (Nervijen D3)","Each film coated tablet contains: Methylcobalamin IP 1500mcg, Alpha Lipoic Acid USP 100mg, Pyridoxine Hydrochloride IP 3mg, Folic Acid IP 1.5mg, Vitamin D3 IP 1000IU","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Jenburkt Pharmaceuticals Ltd.","1 Tablet","10.26","452(E)","25-Jan-19"
"","943","Amoxycillin + Potassium Clavulante Tablet (NEW NUMOX KID)","Each un-coated dispersible tablet contains: Amoxycillin Trihydrate IP eq. to Amoxycillin 200mg, Potassium Clavulante Diluted IP eq. to Clavulnic Acid 28.5mg","M/s Malik Lifesciences Pvt. Ltd.","M/s Jenburkt Pharmaceuticals Ltd.","1 Tablet","7.46","452(E)","25-Jan-19"
"","944","Atorvastatin Calcium + Aspirin Capsule","Each hard gelatine capsule contains: Atorvastatin Calcium IP eq. to Atorvastatin 10mg Aspirin IP 75mg","M/s Windlas Biotech Private Limited","M/s Aprica Healthcare Pvt. Limited","Capsule","2.25","452(E)","25-Jan-19"
"","945","Cilnidipine + Telmisartan Tablet","Each film coated tablets contains: Cilnidipine IP 10mg, Telmisartan IP 80mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","10.54","452(E)","25-Jan-19"
"","946","Cefixime + Dicloxacillin Tablet","Each film coated tablets contains: Cefixime IP as Trihydrate eq. to Anhydrous Cefixime 200mg, Dicloxacillin Sodium IP eq. to Anhydrous Dicloxacillin 500mg (ER)","M/s Khandelwal Laboratories Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","16.48","452(E)","25-Jan-19"
"","947","Telmisartan + Chlorthalidone +Amlodipine Tablets","Each film coated tablet contains: Telmisartan IP 80mg Chlorthalidone IP 6.25mg Amlodipine Besylate eq. to Amlodipine 5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","14.73","452(E)","25-Jan-19"
"","948","Telmisartan + Chlorthalidone +Amlodipine Tablets","Each film coated tablet contains: 
Telmisartan IP 80mg 
Chlorthalidone IP 12.50mg 
Amlodipine Besylate eq. to Amlodipine 5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","14.43","452(E)","25-Jan-19"
"","949","Telmisartan + Chlorthalidone +Amlodipine Tablets","Each film coated tablet contains: 
Telmisartan IP 40mg 
Chlorthalidone IP 6.25mg 
Amlodipine Besylate eq. to Amlodipine 5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","9.3","452(E)","25-Jan-19"
"","950","Telmisartan + Chlorthalidone +Amlodipine Tablets","Each film coated tablet contains: 
Telmisartan IP 40mg + 
Chlorthalidone IP 12.50mg + 
Amlodipine Besylate eq. to Amlodipine 5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","9.65","452(E)","25-Jan-19"
"","951","Metoprolol Tartrate + Ramipril Tablet","Each uncoated bilayered tablet contains: 
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate (As ER)25mg
Ramipril IP 5mg","M/s Lupin Limited","M/s Aprica Healthcare Pvt. Limited","1 Tablet","10.29","452(E)","25-Jan-19"
"","952","Abacavir + Dolutegravir + Lamivudine tablet","Each film coated tablet contains: 
Abacavir Sulphate IP eq. to Abacavir 600 mg Dolutegravir Sodium eq. to Dolutegravir 50 mg Lamivudine IP 300 mg","M/s Emcure Pharmaceuticals Ltd.","M/s Emcure Pharmaceuticals Ltd.","1 Tablet","157.96","452(E)","25-Jan-19"
"","953","Escitalopram  + Clonazepam Tablet (Andefre-LS)","Each film coated tablet contains:
Escitalopram Oxalate eq. to Escitalopram 5mg,
Clonazepam IP 0.25mg","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s Neomac Pharmaceuticals Pvt. Ltd.","1 Tablet","5.88","1030(E)","26-Feb-19"
"","954","Paracetamol +
Aceclofenac Tablet","Each un- coated tablet contains:
Paracetamol IP 325mg,
Aceclofenac IP 100mg.","M/s Caplet India Private Limited","M/s Caplet India Private Limited","1 Tablet","3.35","1030(E)","26-Feb-19"
"","955","Misoprostol Tablet","Each uncoated tablets contains:
Misoprostol IP 25mcg","M/s Acme Formulation Pvt. Ltd.","M/s Zydus Healthcare Limited","1 Tablet","4.37","1030(E)","26-Feb-19"
"","956","Mefenamic Acid +
Paracetamol Tablet","Each uncoated tablets contains:
Mefenamic Acid IP 500mg,
Paracetamol IP 325mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Abbott Healthcare Pvt. Ltd.","1 Tablet","2.76","1030(E)","26-Feb-19"
"","957","Trastuzumab  Injection","Each Lyophilized Vial contains:
Trastuzumab 150mg","M/s Cadila Healthcare Limited","M/s Glenmark Pharmaceuticals Limited","Vial","18400.89","1030(E)","26-Feb-19"
"","958","Cilnidipine +
Telmisartan +
Chlorthalidone Tablet","Each film coated tablet contains:
Cilnidipine 10mg,
Telmisartan IP 40mg
Chlorthalidone 6.25mg","M/s Windlas Biotech Pvt. Ltd.","M/s Emcure Pharmaceuticals Limited","1 Tablet","10.43","1030(E)","26-Feb-19"
"","959","Metformin +
Gliclazide Tablet","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in extended release form)
Gliclazide IP 80mg","M/s Anphar Organics Pvt. Ltd.","M/s Lupin Limited","1 Tablet","6.31","1030(E)","26-Feb-19"
"","960","Metformin +
Gliclazide Tablet","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in extended release form)
Gliclazide IP 60mg (as modified release form)","M/s Anphar Organics Pvt. Ltd.","M/s Lupin Limited","1 Tablet","8.64","1030(E)","26-Feb-19"
"","961","Telmisartan +
Metoprolol Tablet (TELMELIFE – M25)","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate (as extended release form) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Neomac Pharmaceuticals (P) Ltd.","1 Tablet","9.43","1030(E)","26-Feb-19"
"","962","Telmisartan +
Metoprolol Tablet (TELMELIFE – M50)","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Metoprolol Succinate IP 47.5mg eq. to Metoprolol Tartrate (as extended release form) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Neomac Pharmaceuticals (P) Ltd.","1 Tablet","11.72","1030(E)","26-Feb-19"
"","963","Propranolol +
Flunarizine Capsule","Each Hard gelatine capsule contains:
Propranolol Hydrochloride IP 40mg (as SR pellets),
Flunarizine Dihydrochloride BP eq. to Flunarizine 5mg (as pellets)","M/s Innova Captab Ltd.","M/s Cipla Limited","Capsule","6.72","1030(E)","26-Feb-19"
"","964","Propranolol +
Flunarizine Capsule","Each Hard gelatine capsule contains:
Propranolol Hydrochloride IP 40mg (as SR pellets),
Flunarizine Dihydrochloride BP eq. to Flunarizine 10mg (as pellets)","M/s Innova Captab Ltd.","M/s Cipla Limited","Capsule","9.2","1030(E)","26-Feb-19"
"","965","Levonorgestrel Tablet","Each uncoated tablet contains: Levonorgestrel IP 1.5mg","M/s Mylan Laboratories Limited","M/s Mylan Pharmaceutical Private Limited","1 Tablet","92.8","1030(E)","26-Feb-19"
"","966","Formoteraol + Budesonide Respirator suspension (Budetrol 0.5)","Each 2ml respule contains:
Formoterol Fumarate Dihydrate IP eq. to Formoteraol Fumarate 20mcg,
Budesonide IP 0.5mg","M/s Axa Parenterals Ltd.","M/s Macleods Pharmaceutical Limited","2 ML (Each Pack)","36.04","1030(E)","26-Feb-19"
"","967","Formoteraol + Budesonide Respirator suspension (Budetrol 1)","Each 2ml respule contains:
Formoterol Fumarate Dihydrate IP eq. to Formoteraol Fumarate 20mcg,
Budesonide IP 1mg","M/s Axa Parenterals Ltd.","M/s Macleods Pharmaceutical Limited","2 ML (Each Pack)","42.12","1030(E)","26-Feb-19"
"","968","Metformin + Glimepiride Tablet (Geminor 0.5)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride ER 500mg,
Glimepiride IP 0.5mg","M/s Macleods Pharmaceutical Limited","M/s Macleods Pharmaceutical Limited","1 Tablet","3.57","1030(E)","26-Feb-19"
